,tweet,label
0,Gaya hidup Pak. @ganjarpranowo dengan @AgusYudhoyono beda banget ya? Siapakah yg layak jadi Pemimpin Indonesia di 2024?? Awas jangan salah pilih!!  https://t.co/5l15fdVTum,pro
1,"@ganjarpranowo @gibran_tweet Sama pak Kuliner di daerah Jawa Tengah, cuman klo di Randublatung Blora terkadang ada entung goreng atau walang goreng yang hanya ada pada saat kemunculan musim kuliner tsb !",pro
2,@ChusnulCh__ @ganjarpranowo  https://t.co/nrbgdKdNdD,pro
3,@ganjarpranowo Halah moduss,kontra
4,@pn7l7h @ganjarpranowo @ferrykoto Sudah saatnya yg memiliki legal standing @UGMYogyakarta menuntut dokter gila ini ke jalur hukum.  https://t.co/WEavyFU9sE,pro
5,"@ridwanhasigi @aniesbaswedan Setahu saya dari dulu sampe sekarang , wong jowo , soekarno, soeharto, susilo b yudoyono, jokowidodo, 2024 prabowo ato ganjar pranowo, mega dan gusdur juga jowo hanya habibie itupun soeharto lengser , gak usah mimpilah mas won",pro
6,"@ChusnulCh__ @ganjarpranowo PKI selalu merasa paling NKRI,, padahal sejatinya adalah perusak NKRI",kontra
7,@pn7l7h @ganjarpranowo @ferrykoto Kampanye Itu Penting TaukğŸ¤£ğŸ¤£ğŸ˜‚,kontra
8,"@ganjarpranowo @gibran_tweet Wah Pak Ganjar ke Mamuju, melimpir ke Toraja dong Pak ğŸ¤©ğŸ¤©ğŸ¤©ğŸ¤©",pro
9,@__RismaWidiono_ @ganjarpranowo Habis dari Bali ke Mamuju trs ke Banjarmasin. Kapan kerjanya? Pantas aja banjir di Jateng parah.,kontra
10,@ferrykoto @ganjarpranowo Ga ada yg mau sowan langsung ke ibu ini apa ya...? Fitnahnya terus-terusan dari beberapa tahun ini soalnya. Ga capek apa fitnah terus?,kontra
11,@__RismaWidiono_ @ganjarpranowo Seperti kemajuan kota Solo dan banjir semarang ya.,kontra
12,@ChusnulCh__ @ganjarpranowo calon independen!!! ğŸ˜‚,pro
13,@fegiatna @bumnbersatu @jokowi @aniesbaswedan @ganjarpranowo @prabowo @LOVE_AG4EVER__ Anies septicktank Pak Jokowi tepatnya ya nasdrun hahaaaaa,pro
14,@Uki23 Yes @ganjarpranowo  ....,pro
15,Legislator mendukung ide Ganjar Pranowo soal pengembangan sektor olahraga dengan pariwisata atau sport tourism. #ganjar  https://t.co/1gMhdMGayK,pro
16,"Kader PPP di Jakarta Selatan &amp; Medan Dukung Ganjar Pranowo Maju Capres 2024, Mardiono: Ide Ditampung  https://t.co/XgyW9PgS4N  https://t.co/jNQSqctPB7",pro
17,@ganjarpranowo Daerahe katah sing banjer ko njenengan malah kluyuran to pak,kontra
18,@ganjarpranowo Curi2 start kampanye..ğŸ˜‚ğŸ˜‚,kontra
19,"@ganjarpranowo Aneh juga dg ini Gubernur, daerahnya di landa bencana malah sibuk jalan2 kulineran, kok ngga ada rasa tanggungjawab ya ??",kontra
20,@bumnbersatu @jokowi @aniesbaswedan @ganjarpranowo @prabowo @LOVE_AG4EVER__ kalo masih punya malu harusnya menteri Nasdem keluar dari kabinet,kontra
21,@ChusnulCh__ @ganjarpranowo Ini calon Presiden nya PSI itu ya,kontra
22,"Ganjar Ketemu Gibran Saat Sarapan di Pasar Sentral Mamuju  SULBAR - Suasana Pasar Sentral Mamuju Sulawesi Barat mendadak heboh, Senin (10/10). Mereka yang sedang berjualan dan belanja dikejutkan dengan kedatangan Gubernur Jawa Tengah, Ganjar Pranowo.  https://t.co/Z2qsWKNuxC",pro
23,@PantunJ2P @iiikiwaw @alkhaliknur @sutanmangara @ganjarpranowo ğŸ¤£ğŸ¤£ğŸ¤£,pro
24,@ganjarpranowo Pulang pulang...daerahmu kdbanjiran,kontra
25,"@abu_waras @aniesbaswedan @prabowo ARB cocok jika berpasangan dengan @AgusYudhoyono  PS cocok jika berpasangan @yennywahid , @ganjarpranowo atau boleh dicoba lagi dengan @sandiuno ( jangan coba2 berpasangan dgn ET, PM, CI )",kontra
26,@ChusnulCh__ @ganjarpranowo Cari keberkahan dari pemilu luber jurdil  https://t.co/b8ACltsu3l,pro
27,@bumnbersatu @aniesbaswedan @ganjarpranowo @prabowo @ridwankamil Yuk...menuju.pemilu baik  https://t.co/wQxZ0nDKWZ,pro
28,@ChusnulCh__ @ganjarpranowo  https://t.co/FwmDsqMbOR,pro
29,"@penangsang02 @Tandoek_ @Aditya30701692 @ganjarpranowo Gak sedikit, pribumi asli malah jadi bangsat... Mau bukti ?????",kontra
30,"@HarapanBaru16 @bumnbersatu @aniesbaswedan @ganjarpranowo @prabowo @ridwankamil Seblm nyapres jg sdh di masalahkan kok , malah bkn hanya masalah formula E , jgn lebay",kontra
31,"PDIP Bisa Aman, Ganjar Pranowo Dijamin Menguntungkan: Sebaliknya, Puan Maharani Akan...  https://t.co/pKfZCm44f1",kontra
32,@__RismaWidiono_ @ganjarpranowo Kpn kerja nya?,kontra
33,@__RismaWidiono_ @ganjarpranowo Kapan kerjanya? JalanÂ² Mulu.,kontra
34,"@Ganjar4RI @ganjarpranowo Yaken 65% rakyat Indonesia setuju @ganjarpranowo presiden NKRI 2024-2029, yg cuman belum jelas itu hanya tinggal ada pada elite @pdip dg memberikan tiket capres. @ChusnulCh__ @Syarman59 @sahabatganjar",pro
35,@ganjarpranowo Jateng bajir diurusi dl,kontra
36,"@ganjarpranowo Berlagak ud kayak presiden. Jateng aj urusin dl, msh byk kemiskinan. Petani belum sejahtera",kontra
37,@lurahgoodie @detikcom @ganjarpranowo Memang jaman presiden dulu IQ nya 200 ...?,kontra
38,@__RismaWidiono_ @ganjarpranowo Tetap semangatğŸ‘ğŸ‘ğŸ‘  https://t.co/Rot3l4c4tg,pro
39,"@__RismaWidiono_ @ganjarpranowo Sukses..!!! Berbahagialah org yg ikut serta dlm acara ini, sebab dia akan tau makna dari pengabdianğŸ™",pro
40,@ganjarpranowo  https://t.co/n9aZbdevXH,pro
41,"@ferrykoto @ganjarpranowo Cara menanggapi orang gila cuma ada dua : diamkan, atau bawa ke RSJ",pro
42,"@didisatria2 @BosPurwa @andreasharsono @GunRomli @ganjarpranowo Bukanya yg punya bendera pki yg suka bakar kalau demo,,  apa mereka sendiri pki nya ğŸ˜‚ğŸ˜‚",kontra
43,@ChusnulCh__ @aniesbaswedan @ganjarpranowo @NasDem Otak klo isi nya lemak b4bi  Bongak pun di pamer @ChusnulCh__  Kerja kasar ke negri org jdi kuli dan babu meninggal kan anak istri/suami karna kemiskinan. Gubernurnya ngapain ja 2 priode Maen medsos?   Dm,kontra
44,@ChusnulCh__ @ganjarpranowo Kita tunggu waktu kemenangan Anies Baswedan,kontra
45,"@Tan_Mar3M @ChusnulCh__ @ganjarpranowo Jangankan Cenul yg masih ghoib, si Eko saja yang mukanya kelihatan, tidak dikenal oleh GP.",kontra
46,@bumnbersatu @jokowi @aniesbaswedan @ganjarpranowo @prabowo @LOVE_AG4EVER__ Drun Nasdrun dikabinet hrsnya dipecat ya pak ğŸ˜ğŸ˜ğŸ˜,kontra
47,"@ganjarpranowo Pak mohon bantuannya,maslah waduk jragung pringapus kab Semarang,dimana ganti untung lahan warga belum beres semua",pro
48,@SitiAzi78994521 @ferrykoto @infokagama @ganjarpranowo @DokterTifa Hey AnjingPeking.Krn otak lu gak berfungsi a.k.a rusak ğŸ¤­,kontra
49, https://t.co/i1dzIAsjkp ini artinya Kangmas @Jokowi dinilai oleh Nasdem di periode ke-2 sebagai Presiden yg gagal &amp; program2 Jokowi tdk perlu dilanjutkan lagi sbab @aniesbaswedan itu antitesa jokowi @ganjarpranowo @prabowo @LOVE_AG4EVER__ &amp; utk apalagi Nasdem ada di koalisi,pro
50,Ganjar Pranowo dikabarkan punya kans jadi calon presiden lewat KIB jika direstui Jokowi. #Ganjar  https://t.co/CGlZ1Fq6Ey,pro
51,@iiikiwaw @alkhaliknur @sutanmangara @ganjarpranowo sebelum ngajak pinjam dulu filmnya dong  https://t.co/yW9gd0Y7rO,kontra
52,@ganjarpranowo Orang baik akan menjadi busuk ketika beliau sudah berambisi jadi penguasa.koe kih gubernur jateng opo petugas copit keliling muluuu,kontra
53,@ChusnulCh__ @ganjarpranowo ğŸ˜„ğŸ˜„ğŸ˜„  https://t.co/gE6gLr0zKp,kontra
54,@frappuccinos13 @AhmadZainnuddin @ferrykoto @infokagama @ganjarpranowo @DokterTifa MURID IMAM CABUL...MAKANYA OTAKNYA SUNGSANG..,kontra
55,@frappuccinos13 @ferrykoto @infokagama @ganjarpranowo @DokterTifa KADRUN...OTAKMU KOK SUNGSANG SIH.... KALO TOLOL JGN DIBORONG SENDIRI....,kontra
56,"@husen518L1 @ChusnulCh__ @ganjarpranowo Kumpulin semua buzzeRP untuk bantu jawab pertanyaan pak trimedi, ini orang PDIP loh yg tanya prestasi ganjar kalau pks yg tanya boleh kalian meragukan, entar lagi dibilang Trimedi KADRUN ğŸ˜‚",kontra
57,@ganjarpranowo Warganya gak diurusin malah pencitraan keliling Indonesia..  Pake duit APBD??? Audit tuh...  Sodara sodaraku di Jateng pindah ke Anies yg bisa kerja.. Katanya &gt; Ganjar NJELÃ‰HI?? Ada yg tahu artinya??,kontra
58,Pantesan para buzzer2 kurap hari2 ini selalu menggila... @msaid_didu @ReflyHZ @RamliRizal @fadlizon @Fahrihamzah @sandiuno @ganjarpranowo @Dennysiregar7 @_ekokuntadhi @PDemokrat @NasDem @PKSDKIJakarta @PKSejahtera  https://t.co/MVkiZkWwcW,kontra
59,@ganjarpranowo Menghadiri MTQ untuk ngurangin dosa nonton BOKEP ya njar!!!,kontra
60,@RK_Lamongan 1000% saya pilih Ganjar Pranowo,pro
61,@yudi2yunita @VIPNetizen @wahyonoisnaeni1 @lurahgoodie @detikcom @ganjarpranowo Kok bisa? Padahal itu forum resmi,kontra
62,@ganjarpranowo Maaf.. Pak Ganjar itu Gubernur merangkap Petugas Partai.,pro
63,@ganjarpranowo @gibran_tweet Gabakal jadi presiden lu bokep,kontra
64,Dukungan para santri di Jawa Timur bagi Pak Ganjar Pranowo.  https://t.co/9xHEBJqguM,pro
65,"@DoankWarto Kasihan banget ya pak @ganjarpranowo pedukung nya sampai ngemis"" gitu ngobral nyağŸ˜­ğŸ˜­tapi Bu MEGA lebih memilih putri nya BU PUAN MAHARANI....yg sabar yağŸ¤«ğŸ¤«ğŸ¤«",kontra
66,"@Uki23 Promosi Ganjar Pranowo silahkan tapi wong... objektif menilai yg lain, kalo bagus bilang bagus seperti yg dilakukan capresmu ini  https://t.co/pAZhAfjrDl",pro
67,@ganjarpranowo @gibran_tweet Sego megono wes pernah dareng pak ganjar,pro
68,@ChusnulCh__ @ganjarpranowo  https://t.co/Mka16r98n8,pro
69,@ganjarpranowo Kalo Anis kaya gini pasti  @Dennysiregar7  udah gonggong ngga karuan...ini lho pak @jokowi  kader anda keluar dr tupoksinya,kontra
70,@feigustaf @sid_abeng @ganjarpranowo @eae18 Gubernur koq bisa gagal nalar ya?ğŸ˜‚ Apakah adminnya bukan beliau?,kontra
71,@ChusnulCh__ @ganjarpranowo Yg udah engap pasti pilih capres menuju perubahan... Anies orangnya...,kontra
72,@JohnRahandra @sutanmangara Mirip otak nya si uban bokep dong @ganjarpranowo ğŸ¤£ğŸ¤£ğŸ¤£ğŸ¤£ğŸ¤£ğŸ¤£ğŸ¤£,kontra
73,@alkhaliknur @sutanmangara Ajak si uban bokep @ganjarpranowo juga dong ğŸ˜,kontra
74,"@pn7l7h Monggo Ndoro @ganjarpranowo, ampun mendel mawon, dipun respon nggih.. ğŸ™",pro
75,@ganjarpranowo Lagi sosialisai gimana nonton bokep biar ngga merasa berdosa,kontra
76,@GanjarPranowo #Gubernur #Jateng &amp; Ibu #SitiAtikoh berkunjung &amp; sarapan di Pasar Sentral #Mamuju. Ada sesuatu yg buat sy sgt terharu &amp; hrs belajar kembali ttg arti 'MEMBERI &amp; KESEDERHANAAN' dr #GanjarPranowo. #JawaTengah #SulawesiBarat #Su,pro
77,@AfriAztraner @gerinisk2 @ChusnulCh__ @ganjarpranowo ğŸ¤£ğŸ¤£ğŸ¤£  https://t.co/ocsPt6ayHV,pro
78,@ganjarpranowo Lagi ngapain??? Jual citra.?? Kesian masih mencari calon pembeli....ğŸ¤£ğŸ¤£ğŸ¤£ğŸ¤£,kontra
79,@ChusnulCh__ @ganjarpranowo Ini orang tak malu ya sm anak2 nya di medsos JUALAN OBAT terus ğŸ¤­ğŸ˜„ ambisi jd pejabat ya ğŸ¤­ğŸ˜„ğŸ¤£  https://t.co/V1xM1WFdJd,kontra
80,"@penangsang02 @Tandoek_ @Aditya30701692 @ganjarpranowo DIKARENAKAN SUDAH SANGAT MUSTAHIL DGN KEMAMPUAN KERJANYA UTK BERSAING DGN ANIES, MAKA PARA BANGSAT, NYARI CARA LAIN, DGN MENUDUH ANIES BUKAN ASLI PRIBUMI... MEMBUKTIKAN BAHWA KECEBONG GAK ADA YG PINTE",kontra
